Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
1,67.0143,-136.538,398,27.7,25.1,0.178,13.53,M1_25,1.724,1.469,1.469,2.75911,760,18.04
2,66.4317,-136.774,399,28.5,26,0.124,15.44,M1_25,1.821,1.597,1.597,1.86369,872,18.04
2,66.4395,-136.744,400,26.2,0.111,0.111,16.61,M1_25,1.962,1.635,1.635,1.65573,962,18.04
2,66.4138,-136.74,401,26.2,0.111,0.111,15.52,M1_25,1.924,1.601,1.601,1.8373,924,18.04
2,66.4214,-136.71,402,26.2,0.111,0.111,15.52,M1_25,1.924,1.601,1.601,1.8373,924,18.04
2,66.4044,-136.724,403,26.2,0.111,0.111,15.52,M1_25,1.924,1.601,1.601,1.8373,924,18.04
2,66.4119,-136.694,404,26.2,0.111,0.111,15.52,M1_25,1.924,1.601,1.601,1.8373,924,18.04
2,66.005,-137.634,405,27,0.093,0.093,22.13,M1_25,2.782,1.829,1.829,0.885728,1526,18.04
2,66.0218,-137.519,406,28.5,0.075,0.075,21.22,M1_25,2.64,1.804,1.804,0.965099,1429,18.04
2,66.0207,-137.47,407,28.5,0.075,0.075,21.9,M1_25,2.745,1.825,1.825,0.899592,1503,18.04
2,66.0856,-135.763,408,28.2,0.058,0.058,11.72,M1_25,1.085,1.504,1.504,2.47859,490,18.04
2,66.0931,-135.733,409,28,0.053,0.053,14.48,M1_25,1.623,1.627,1.627,1.69802,792,18.04
2,66.0763,-135.748,410,28,0.053,0.053,11.72,M1_25,1.085,1.504,1.504,2.47859,490,18.04
2,66.0836,-135.718,411,28,0.053,0.053,14.48,M1_25,1.623,1.627,1.627,1.69802,792,18.04
2,66.0909,-135.689,412,28,0.053,0.053,14.48,M1_25,1.623,1.627,1.627,1.69802,792,18.04
2,65.9856,-135.527,413,26.9,0.064,0.064,16.09,C1,0.165,1.323,1.323,1.323,65,18.04
1,65.9782,-135.552,414,27,0.063,0.063,17.6,C1,0.213,1.345,1.345,1.345,86,18.04
2,65.6903,-135.962,415,26,0.091,0.091,20.9,C1,0.404,1.38,1.38,1.38,167,18.04
1,65.6984,-135.93,416,26,0.094,0.094,20.9,C1,0.404,1.38,1.38,1.38,167,18.04
1,65.6886,-135.915,417,26,0.094,0.094,20.84,C1,0.469,1.38,1.38,1.38,194,18.04
2,65.4171,-136.849,418,34.2,0.046,0.046,21.34,C1,0.76,1.381,1.381,1.381,315,18.04
1,65.4306,-136.037,419,30.2,0.052,0.052,21.55,C1,0.611,1.384,1.384,1.384,254,18.04
1,65.4386,-136.006,420,30.2,0.052,0.052,24.08,C1,0.969,1.401,1.401,1.401,407,18.04
