Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
1,65.6354,-126.86,698,26.3,27.1,0.108,22.24,M1_50,4.816,2.428,2.45889,0.796872,3553,8.54
1,65.6571,-126.908,699,26.8,27.9,0.116,20.98,M1_65,4.725,2.715,2.79716,0.883961,3965,8.54
1,65.7207,-127.743,700,28.4,27.9,0.087,20.46,M1_65,4.499,2.682,2.69297,0.942309,3635,8.54
1,65.7167,-127.765,701,28.8,28,0.087,20.16,M1_65,4.489,2.667,2.67356,0.970602,3600,8.54
1,65.7333,-127.731,702,28.4,27.9,0.087,20.62,M1_50,3.737,2.362,2.362,0.928944,2648,8.54
1,65.7293,-127.753,703,28.4,27.9,0.087,20.62,M1_50,3.737,2.362,2.362,0.928944,2648,8.54
1,65.7378,-127.762,704,28.8,28,0.087,20.62,M1_50,3.737,2.362,2.362,0.928944,2648,8.54
1,65.8509,-131.781,705,30.6,29,0.065,17.06,M1_65,3.113,2.719,2.719,0.878032,2539,8.54
1,66.8969,-129.902,706,28.1,26.6,0.307,20.15,M1_35,2.042,2.443,2.443,0.237364,1497,8.54
1,66.8924,-129.925,707,28.1,26.6,0.307,20.15,M1_35,2.042,2.443,2.443,0.237364,1497,8.54
1,66.9584,-129.466,708,27.2,27,0.265,18.87,D1,0.655,1.411,1.411,1.411,277,8.54
1,66.9626,-129.499,709,27.2,27,0.265,18.87,D1,0.655,1.411,1.411,1.411,277,8.54
1,67.8012,-129.852,710,27.9,26,0.14,17.42,D2,0.661,1.348,1.348,3.56032,267,8.54
1,67.797,-129.875,711,27.9,26,0.14,16.91,D2,0.585,1.345,1.345,3.5494,236,8.54
1,67.7927,-129.898,712,27.9,26,0.14,16.91,D2,0.585,1.345,1.345,3.5494,236,8.54
1,67.7884,-129.921,713,27.9,26,0.14,17.7,D2,0.612,1.357,1.357,3.32744,249,8.54
1,68.0593,-132.293,714,28.5,27.6,0.126,14.91,D2,0.737,1.136,1.136,4.94097,251,8.54
1,68.0627,-132.33,715,28.5,27.6,0.126,14.91,D2,0.737,1.136,1.136,4.94097,251,8.54
0,68.0783,-132.415,716,28.4,27.1,0.131,14.67,D2,0.732,1.126,1.126,4.94012,247,8.54
0,68.0867,-132.428,717,28.4,27.1,0.131,14.67,D2,0.732,1.126,1.126,4.94012,247,8.54
0,68.0952,-132.44,718,28.4,27.1,0.131,14.92,D2,0.768,1.13,1.13,4.88862,260,8.54
1,68.1284,-132.329,719,28.5,27.6,0.126,14.49,D2,0.733,1.121,1.121,5.01798,247,8.54
1,68.1368,-132.342,720,28.5,27.6,0.126,14.37,D2,0.72,1.117,1.117,5.02881,241,8.54
1,68.155,-132.305,721,28.3,27.4,0.125,14.77,D2,0.755,1.127,1.127,4.99007,255,8.54
1,68.1453,-132.354,722,28.4,27.1,0.131,14.37,D2,0.72,1.117,1.117,5.02881,241,8.54
1,68.1624,-132.291,723,28.3,27.4,0.125,14.77,D2,0.755,1.127,1.127,4.99007,255,8.54
1,68.1575,-132.316,724,28.3,27.4,0.125,14.77,D2,0.755,1.127,1.127,4.99007,255,8.54
1,68.1526,-132.34,725,28.5,27.6,0.126,14.37,D2,0.72,1.117,1.117,5.02881,241,8.54
1,68.1477,-132.364,726,28.4,27.1,0.131,14.37,D2,0.72,1.117,1.117,5.02881,241,8.54
1,68.1659,-132.328,727,28.3,27.4,0.125,14.57,D2,0.756,1.121,1.121,5.01321,254,8.54
1,68.1611,-132.352,728,28.2,27.3,0.125,14.43,D2,0.721,1.117,1.117,5.00975,242,8.54
1,68.1744,-132.34,729,28.3,27.4,0.125,14.57,D2,0.756,1.121,1.121,5.01321,254,8.54
1,68.1695,-132.364,730,28.2,27.3,0.125,14.43,D2,0.721,1.117,1.117,5.00975,242,8.54
1,68.1646,-132.389,731,28.2,27.3,0.125,14.43,D2,0.721,1.117,1.117,5.00975,242,8.54
1,68.1631,-132.451,732,28.2,27.3,0.125,14.9,D2,0.756,1.126,1.126,4.90164,255,8.54
1,68.1864,-132.389,733,28.2,27.3,0.125,14.46,D2,0.73,1.117,1.117,5.02238,245,8.54
1,68.1814,-132.414,734,28.2,27.3,0.125,14.56,D2,0.723,1.119,1.119,4.97866,243,8.54
1,68.0776,-132.256,735,28.5,27.6,0.126,14.94,D1,0.749,1.137,1.137,4.97199,255,8.54
1,68.0726,-132.28,736,28.5,27.6,0.126,14.79,D1,0.732,1.133,1.133,4.97668,249,8.54
1,64.0741,-125.708,737,24.5,23.4,0.184,13.03,D1,0.733,0.958,0.958,9.959,211,8.54
1,64.0704,-125.729,738,24.5,23.4,0.184,13.03,D1,0.733,0.958,0.958,9.959,211,8.54
1,64.0827,-125.716,739,24.5,23.4,0.184,13.03,D1,0.733,0.958,0.958,9.959,211,8.54
1,64.0789,-125.738,740,24.5,23.4,0.184,13.03,D1,0.733,0.958,0.958,9.959,211,8.54
1,64.5763,-125.519,741,25,25,0.254,18.73,D1,0.916,1.236,1.236,7.55254,340,8.54
1,64.5727,-125.54,742,25,25,0.254,19.74,D2,0.89,1.253,1.253,7.39368,335,8.54
1,64.5691,-125.561,743,24.9,24.1,0.247,19.74,D2,0.89,1.253,1.253,7.39368,335,8.54
