Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
1,65.9733,-116.849,1000,19.8,20.6,0.169,28.63,D1,1.965,1.312,1.312,8.92191,773,5.87
1,65.9639,-116.843,1001,19.8,20.6,0.169,28.63,D1,1.965,1.312,1.312,8.92191,773,5.87
0,65.8186,-115.615,1002,18.5,18.9,0.204,27.36,D1,1.804,1.306,1.306,9.52173,707,5.87
1,64.4676,-115.256,1003,19.5,19.9,0.183,25.81,D1,1.74,1.27,1.27,8.78606,663,5.87
1,64.4555,-115.275,1004,19.5,19.9,0.183,26.29,D1,1.806,1.274,1.274,8.78482,690,5.87
1,65.9665,-116.818,1005,19.8,20.6,0.169,28.96,D2,1.994,1.315,1.315,8.88812,787,5.87
1,65.957,-116.812,1006,19.8,20.6,0.169,28.49,D2,1.96,1.31,1.31,8.95567,770,5.87
1,65.3714,-116.671,1007,20.2,21.6,0.147,25.98,D2,1.821,1.264,1.264,8.85395,691,5.87
1,65.362,-116.665,1008,20.2,21.6,0.147,25.98,D2,1.821,1.264,1.264,8.85395,691,5.87
1,65.1375,-116.149,1009,20,21.7,0.148,25.67,D2,1.771,1.253,1.253,8.9274,666,5.87
1,64.683,-116.061,1010,20.3,21.4,0.16,24.56,D2,1.725,1.226,1.226,8.80521,634,5.87
1,65.6462,-116.516,1011,19.1,20.5,0.162,26.82,D1,1.803,1.288,1.288,9.42383,697,5.87
0,65.7362,-115.617,1012,18.4,18.6,0.201,26.69,D1,1.755,1.296,1.296,9.5908,682,5.87
0,65.7387,-115.591,1013,18.4,18.6,0.201,27.11,D1,1.793,1.301,1.301,9.65444,700,5.87
0,65.729,-115.585,1014,18.4,18.6,0.201,27.11,D1,1.793,1.301,1.301,9.65444,700,5.87
0,65.1401,-116.124,1015,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
0,65.1426,-116.1,1016,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
0,65.1331,-116.094,1017,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
1,64.7586,-116.033,1018,20.2,20.4,0.169,24.82,D1,1.758,1.231,1.231,8.7904,649,5.87
1,64.7611,-116.009,1019,20.2,20.4,0.169,24.59,D1,1.721,1.229,1.229,8.80817,635,5.87
1,64.7636,-115.985,1020,20.2,20.4,0.169,24.59,D1,1.721,1.229,1.229,8.80817,635,5.87
1,64.7661,-115.961,1021,20.2,20.4,0.169,24.94,D1,1.772,1.234,1.234,8.77139,656,5.87
1,64.713,-116.184,1022,20.3,21.5,0.165,24.85,D1,1.732,1.23,1.23,8.76572,639,5.87
0,64.6692,-116.002,1023,20.2,21.2,0.155,24.32,D1,1.698,1.222,1.222,8.82238,622,5.87
0,64.6717,-115.978,1024,20.2,21.2,0.155,24.69,D1,1.842,1.227,1.227,8.7841,678,5.87
0,64.6598,-115.997,1025,20.2,21.2,0.155,24.32,D1,1.698,1.222,1.222,8.82238,622,5.87
1,65.605,-116.111,1026,18.8,20.2,0.186,27.11,D2,1.823,1.292,1.292,9.40156,707,5.87
1,65.5392,-115.74,1027,18.8,20.1,0.171,26.26,D2,1.789,1.281,1.281,9.56054,688,5.87
1,64.9869,-121.656,1028,21.8,22.6,0.118,29.72,C1,1.374,1.357,1.357,1.357,559,8.54
1,65.7111,-127.648,1029,28,27.8,0.086,19.84,C1,0.328,1.295,1.295,1.295,127,8.54
1,65.707,-127.67,1030,28.4,27.9,0.087,19.84,C1,0.328,1.295,1.295,1.295,127,8.54
1,65.7196,-127.658,1031,28.4,27.9,0.087,19.84,C1,0.328,1.295,1.295,1.295,127,8.54
1,65.7203,-127.69,1032,28.4,27.9,0.087,19.95,C1,0.333,1.3,1.3,1.3,130,8.54
1,67.3055,-129.903,1033,27.3,24.1,0.189,17.42,C1,0.046,1.27,1.27,1.27,18,8.54
1,67.3616,-130.359,1034,28.5,26.5,0.136,19.47,C1,0.093,1.324,1.324,1.324,37,8.54
1,67.3701,-130.37,1035,28.5,26.5,0.136,19.22,C1,0.089,1.317,1.317,1.317,35,8.54
1,67.5901,-130.529,1036,28.1,26.8,0.136,17.12,C1,0.059,1.239,1.239,1.239,22,8.54
1,67.603,-130.517,1037,28.1,26.8,0.136,17.12,C1,0.059,1.239,1.239,1.239,22,8.54
1,67.5985,-130.541,1038,28.1,26.8,0.136,17.12,C1,0.059,1.239,1.239,1.239,22,8.54
1,67.1492,-132.917,1039,30.9,28.6,0.088,18.88,C1,0.214,1.333,1.333,1.333,86,8.54
1,67.158,-132.929,1040,30.9,28,0.153,18.88,C1,0.214,1.333,1.333,1.333,86,8.54
1,67.1525,-132.955,1041,31,28.4,0.12,18.88,C1,0.214,1.333,1.333,1.333,86,8.54
1,64.5749,-119.601,1042,20,21.8,0.269,24.05,C1,0.716,1.323,1.323,1.323,284,8.54
1,64.5822,-119.763,1043,19.9,21.9,0.27,23.87,C1,0.682,1.316,1.316,1.316,269,8.54
1,64.5936,-119.749,1044,19.9,21.8,0.275,23.87,C1,0.682,1.316,1.316,1.316,269,8.54
1,64.6732,-121.25,1045,23,23.4,0.45,26.16,M1_25,3.324,1.932,1.932,0.618762,1927,8.54
1,64.0655,-125.7,1046,24.5,23.4,0.184,12.34,M1_25,1.464,1.265,1.265,5.1719,556,8.54
1,64.1236,-125.64,1047,24.2,23.8,0.186,12.51,M1_25,1.588,1.294,1.294,4.72205,616,8.54
1,64.5618,-125.602,1048,24.9,24.1,0.247,20.75,M1_25,2.497,1.813,1.813,0.93631,1358,8.54
1,64.5667,-125.631,1049,24.9,24.1,0.247,20.75,M1_25,2.497,1.813,1.813,0.93631,1358,8.54
1,64.7551,-125.729,1050,27.4,27.5,0.215,21.95,M1_25,2.58,1.851,1.851,0.823259,1433,8.54
1,64.7672,-125.717,1051,27.4,27.5,0.215,21.95,M1_25,2.58,1.851,1.851,0.823259,1433,8.54
1,64.7636,-125.738,1052,27.4,27.5,0.215,21.95,M1_25,2.58,1.851,1.851,0.823259,1433,8.54
1,64.7757,-125.725,1053,27.4,27.5,0.215,21.95,M1_25,2.58,1.851,1.851,0.823259,1433,8.54
1,65.5214,-127.115,1054,27.1,28.1,0.096,20.87,M1_25,2.342,1.825,1.825,0.899366,1282,8.54
1,67.2771,-130.273,1055,28.5,27,0.143,20.04,M1_65,3.004,3.401,3.401,0.180835,3065,8.54
1,67.2524,-132.537,1056,31,29.4,0.123,19.69,M1_50,3.054,2.46,2.46,0.737456,2254,8.54
1,67.2977,-132.374,1057,31,30.4,0.114,19.56,M1_50,3.032,2.481,2.481,0.701955,2257,8.54
1,64.1861,-121.586,1058,22.9,23.5,0.435,19.89,M1_65,5.534,2.292,2.40107,1.98884,3986,8.54
1,64.1832,-121.606,1059,22.9,23.5,0.435,19.89,M1_65,5.534,2.292,2.34378,1.98884,3891,8.54
1,64.1946,-121.593,1060,22.9,23.5,0.435,19.89,M1_65,5.534,2.292,2.4023,1.98884,3988,8.54
1,64.1917,-121.612,1061,22.9,23.5,0.435,19.89,M1_65,5.534,2.292,2.35981,1.98884,3918,8.54
0,67.7077,-130.131,1062,27.8,26.9,0.121,16.86,D1,0.556,1.371,1.371,2.76451,229,8.54
0,67.7034,-130.154,1063,27.8,26.9,0.121,16.86,D1,0.556,1.371,1.371,2.76451,229,8.54
0,67.699,-130.178,1064,27.9,27,0.124,16.72,D1,0.54,1.38,1.38,2.41858,224,8.54
1,67.7551,-129.821,1065,28,27.2,0.127,18.29,D1,0.67,1.372,1.372,3.02578,276,8.54
1,64.2202,-124.012,1066,21.2,20.5,0.206,13.28,D1,0.689,1.046,1.046,9.65965,216,8.54
1,64.2169,-124.032,1067,21.2,20.5,0.206,13.28,D1,0.689,1.046,1.046,9.65965,216,8.54
1,64.2287,-124.019,1068,21.2,20.5,0.206,13.28,D1,0.689,1.046,1.046,9.65965,216,8.54
1,64.2254,-124.039,1069,21.2,20.5,0.206,13.28,D1,0.689,1.046,1.046,9.65965,216,8.54
1,64.8564,-119.685,1070,20.5,21.8,0.316,24.22,D1,1.424,1.295,1.295,7.93659,553,8.54
0,66.8796,-128.53,1071,27.1,26.5,0.386,20.02,D2,1.027,1.315,1.315,4.02496,405,8.54
0,66.9621,-128.963,1072,27,27.2,0.258,19.23,D1,0.758,1.363,1.363,2.85885,310,8.54
0,66.8691,-129.518,1073,27.6,28.5,0.217,19.26,D1,0.711,1.392,1.392,1.91102,297,8.54
1,66.2111,-130.655,1074,30,27.2,0.399,21.21,D1,0.976,1.339,1.339,4.10244,392,8.54
1,65.686,-127.673,1075,28.4,27.9,0.087,19.83,D1,0.997,1.255,1.255,7.07833,375,8.54
1,65.6945,-127.683,1076,28.4,27.9,0.087,19.83,D1,0.997,1.255,1.255,7.07833,375,8.54
1,65.6905,-127.704,1077,28.4,27.9,0.087,19.83,D1,0.997,1.255,1.255,7.07833,375,8.54
0,65.6934,-127.577,1078,28,27.8,0.086,19.68,D2,1.02,1.252,1.252,7.11139,383,8.54
0,65.6894,-127.598,1079,28,27.8,0.086,19.68,D2,1.02,1.252,1.252,7.11139,383,8.54
1,66.8327,-129.85,1080,28.8,28.4,0.263,20.53,D1,0.741,1.422,1.422,1.422,316,8.54
1,66.8282,-129.874,1081,28.8,28.4,0.263,20.53,D1,0.741,1.422,1.422,1.422,316,8.54
1,67.7758,-129.933,1082,27.9,26,0.14,17.7,D2,0.612,1.357,1.357,3.32744,249,8.54
0,67.7285,-130.188,1083,27.9,27,0.124,17.23,D2,0.592,1.368,1.368,2.81997,243,8.54
1,64.1676,-125.732,1084,25.2,25.6,0.161,17.63,D1,1.06,1.115,1.115,9.31066,355,8.54
1,67.7039,-129.835,1085,28,27.2,0.125,18.46,D2,0.643,1.396,1.396,2.05276,269,8.54
1,67.7171,-129.914,1086,27.9,26.7,0.126,16.94,D2,0.567,1.373,1.373,2.68272,234,8.54
1,67.7887,-129.75,1087,28.1,28.5,0.114,18.41,D2,0.682,1.367,1.367,3.22823,280,8.54
1,67.7887,-129.807,1088,28,27.2,0.127,17.78,D2,0.67,1.357,1.357,3.36074,273,8.54
1,67.7844,-129.83,1089,28,27.2,0.127,17.78,D2,0.67,1.357,1.357,3.36074,273,8.54
1,67.7803,-129.853,1090,27.9,26,0.14,16.93,D2,0.627,1.35,1.35,3.40166,254,8.54
0,67.7245,-130.153,1091,27.8,26.9,0.121,17.23,D2,0.592,1.368,1.368,2.81997,243,8.54
0,67.7201,-130.177,1092,27.9,27,0.124,17.23,D2,0.592,1.368,1.368,2.81997,243,8.54
1,64.5755,-119.528,1093,20,21.8,0.274,24.37,O1a,0.006,0.35,0.35,0.35,1,8.54
1,64.5828,-119.54,1094,20,21.8,0.274,24.25,O1a,0,0.35,0.35,0.35,0,8.54
1,64.7163,-118.862,1095,19.7,21.4,0.33,24.49,O1a,0,0.35,0.35,0.35,0,8.54
1,64.0962,-125.754,1096,24.5,23.4,0.184,14.13,D1,0.737,1,1,9.76468,221,8.54
1,64.1199,-125.66,1097,24.5,23.4,0.184,13.16,D1,0.62,0.971,0.971,9.87674,181,8.54
1,64.1381,-125.727,1098,24.5,23.4,0.184,16.45,D1,0.976,1.08,1.08,9.33467,316,8.54
1,64.4247,-125.824,1099,23.5,22.8,0.164,13.48,D1,0.634,1.085,1.085,8.81562,206,8.54
1,64.4209,-125.845,1100,23.5,22.8,0.164,13.48,D1,0.634,1.085,1.085,8.81562,206,8.54
1,64.6273,-124.829,1101,26.2,26.5,0.221,25.07,D1,1.409,1.33,1.33,6.90392,562,8.54
1,64.6358,-124.837,1102,26.2,26.5,0.221,25.07,D1,1.409,1.33,1.33,6.90392,562,8.54
0,64.6324,-124.857,1103,26.5,26.9,0.213,25.07,D1,1.409,1.33,1.33,6.90392,562,8.54
0,64.629,-124.878,1104,26.5,26.9,0.213,24.9,D1,1.385,1.327,1.327,6.76515,551,8.54
1,64.5642,-125.532,1105,25,25,0.254,19.05,D1,0.859,1.241,1.241,7.52292,320,8.54
1,64.5654,-125.582,1106,24.9,24.1,0.247,21.39,D1,1.06,1.278,1.278,7.13032,406,8.54
1,64.6797,-124.978,1107,27,27.5,0.196,25.41,D1,1.454,1.333,1.333,6.63691,581,8.54
1,64.5739,-125.59,1108,24.9,24.1,0.247,21.39,D1,1.06,1.278,1.278,7.13032,406,8.54
1,64.5703,-125.611,1109,24.9,24.1,0.247,21.39,D1,1.06,1.278,1.278,7.13032,406,8.54
1,64.5753,-125.639,1110,24.9,24.1,0.247,20.33,D1,1.113,1.261,1.261,7.28649,421,8.54
1,64.6818,-125.532,1111,26.2,26.5,0.23,21.92,D1,1.202,1.29,1.29,6.92442,465,8.54
1,64.6783,-125.553,1112,26.2,26.5,0.233,21.23,D1,1.143,1.28,1.28,7.00628,439,8.54
1,64.6868,-125.561,1113,26.2,26.5,0.233,21.23,D1,1.143,1.28,1.28,7.00628,439,8.54
1,64.8345,-124.87,1114,27.2,27.9,0.179,25.13,D1,1.415,1.331,1.331,6.88571,565,8.54
1,64.704,-125.679,1115,26.4,26.5,0.237,18.46,D1,0.977,1.236,1.236,7.35362,362,8.54
1,64.7209,-125.696,1116,26.4,26.5,0.237,21.45,D1,1.137,1.282,1.282,6.93794,437,8.54
1,64.7295,-125.704,1117,26.4,26.5,0.237,21.45,D1,1.137,1.282,1.282,6.93794,437,8.54
1,64.7667,-125.548,1118,27.2,27.4,0.213,23.26,D1,1.268,1.306,1.306,6.74553,497,8.54
1,64.7632,-125.569,1119,27.2,27.4,0.213,22.99,D1,1.251,1.303,1.303,6.76953,489,8.54
1,64.7538,-125.68,1120,27.4,27.5,0.215,21.93,D1,1.185,1.288,1.288,6.87864,458,8.54
1,64.7623,-125.688,1121,27.4,27.5,0.215,21.93,D1,1.185,1.288,1.288,6.87864,458,8.54
1,64.866,-125.482,1122,27.4,27.4,0.212,24.34,D1,1.338,1.318,1.318,6.58476,529,8.54
1,65.0042,-125.019,1123,27.5,28.6,0.101,24.8,D1,1.394,1.326,1.326,6.67141,555,8.54
1,65.0187,-125.276,1124,27.6,28.3,0.133,24.15,D1,1.352,1.316,1.316,6.66906,534,8.54
1,65.0152,-125.296,1125,27.6,28.3,0.133,24.13,D1,1.354,1.316,1.316,6.65791,535,8.54
1,65.0117,-125.317,1126,27.6,28.3,0.133,24.13,D1,1.354,1.316,1.316,6.65791,535,8.54
1,65.0272,-125.284,1127,27.6,28.3,0.133,24.16,D1,1.353,1.316,1.316,6.65933,534,8.54
1,65.0237,-125.304,1128,27.6,28.3,0.133,24.01,D1,1.343,1.314,1.314,6.66473,529,8.54
1,65.0202,-125.325,1129,27.6,28.3,0.133,24.01,D1,1.343,1.314,1.314,6.66473,529,8.54
1,65.0287,-125.333,1130,27.6,28.3,0.133,24.01,D1,1.343,1.314,1.314,6.66473,529,8.54
1,65.007,-125.576,1131,27.1,27.1,0.218,23.32,D1,1.299,1.304,1.304,6.65829,508,8.54
1,65.0132,-125.589,1132,27.1,27.1,0.218,23.32,D1,1.299,1.304,1.304,6.65829,508,8.54
1,65.0097,-125.609,1133,27.1,27.1,0.218,23.32,D1,1.299,1.304,1.304,6.65829,508,8.54
1,65.0288,-125.556,1134,27.1,27.1,0.218,23.52,D1,1.316,1.306,1.306,6.63366,516,8.54
1,65.0253,-125.576,1135,27.1,27.1,0.218,23.52,D1,1.316,1.306,1.306,6.63366,516,8.54
1,65.0217,-125.597,1136,27.1,27.1,0.218,23.24,D1,1.292,1.303,1.303,6.65826,505,8.54
1,65.0374,-125.564,1137,27.1,27.1,0.218,23.52,D1,1.316,1.306,1.306,6.63366,516,8.54
1,65.0338,-125.585,1138,27.1,27.1,0.218,23.52,D1,1.316,1.306,1.306,6.63366,516,8.54
1,65.0303,-125.605,1139,27.1,27.1,0.218,23.24,D1,1.292,1.303,1.303,6.65826,505,8.54
1,65.0494,-125.552,1140,26.9,27.5,0.129,23.56,D1,1.321,1.307,1.307,6.63042,518,8.54
1,65.0459,-125.572,1141,26.9,27.5,0.129,23.11,D1,1.309,1.301,1.301,6.676,511,8.54
1,65.0423,-125.593,1142,27.1,27.1,0.218,23.11,D1,1.309,1.301,1.301,6.676,511,8.54
1,65.0388,-125.613,1143,27.1,27.1,0.218,22.35,D1,1.263,1.291,1.291,6.76204,489,8.54
0,65.3739,-125.308,1144,26,26.4,0.229,22.69,D1,1.236,1.296,1.296,6.81597,481,8.54
1,66.3483,-119.518,1145,20.1,25.2,0.176,30.7,D1,2.13,1.344,1.344,7.21471,859,8.54
1,66.3599,-119.502,1146,20.1,25.2,0.176,30.12,D1,2.063,1.338,1.338,7.29932,828,8.54
1,66.3572,-119.525,1147,20.1,25.2,0.176,30.4,D1,2.088,1.341,1.341,7.23937,840,8.54
1,66.3544,-119.548,1148,20.1,25,0.181,30.4,D1,2.088,1.341,1.341,7.23937,840,8.54
1,66.3746,-119.518,1149,20.1,25.2,0.176,30.12,D1,2.063,1.338,1.338,7.29932,828,8.54
1,66.3718,-119.541,1150,20.1,25.2,0.176,30.4,D1,2.088,1.341,1.341,7.23937,840,8.54
1,65.4368,-127.077,1151,28.2,29.6,0.072,21.72,D1,1.147,1.284,1.284,6.68662,442,8.54
1,65.4329,-127.098,1152,28.2,29.6,0.072,21.72,D1,1.147,1.284,1.284,6.68662,442,8.54
1,65.6374,-129.439,1153,29.8,28.2,0.196,20.53,D1,1.033,1.285,1.285,5.16229,398,8.54
0,65.6644,-129.357,1154,30.4,29.6,0.188,20.47,D1,1.039,1.281,1.281,5.15013,399,8.54
1,65.6369,-129.496,1155,29.8,27.4,0.19,20.77,D1,1.055,1.289,1.289,5.08729,408,8.54
1,65.6323,-129.519,1156,29.8,27.4,0.19,20.46,D1,1.034,1.285,1.285,5.14841,399,8.54
1,65.6277,-129.542,1157,29.8,27.4,0.19,19.8,D1,1.022,1.276,1.276,5.26015,391,8.54
1,65.6232,-129.565,1158,29.6,27,0.189,19.8,D1,1.022,1.276,1.276,5.26015,391,8.54
1,65.6185,-129.588,1159,29.6,27,0.189,19.7,D1,0.951,1.276,1.276,5.27587,364,8.54
1,65.6138,-129.612,1160,29.6,27,0.189,19.7,D1,0.951,1.276,1.276,5.27587,364,8.54
1,65.6092,-129.635,1161,29.6,27,0.189,19.64,D1,0.964,1.275,1.275,5.28856,369,8.54
0,65.6732,-129.367,1162,30.4,29.6,0.188,20.47,D1,1.039,1.281,1.281,5.15013,399,8.54
1,65.6179,-129.646,1163,29.6,27,0.189,20.46,D1,1.061,1.289,1.289,5.11295,410,8.54
1,65.6132,-129.669,1164,29.5,26.9,0.19,20.46,D1,1.061,1.289,1.289,5.11295,410,8.54
0,66.0066,-130.057,1165,30.3,28.6,0.257,21.36,D1,1.051,1.314,1.314,4.2268,414,8.54
0,66.0106,-130.092,1166,30.3,28.6,0.257,21.36,D1,1.051,1.314,1.314,4.2268,414,8.54
1,66.0509,-130.053,1167,30.1,27.5,0.385,21.77,D1,1.079,1.319,1.319,4.05747,427,8.54
1,66.0693,-130.139,1168,30.1,27.5,0.385,21.72,D1,1.068,1.321,1.321,4.04732,423,8.54
0,66.0582,-130.303,1169,30,27.5,0.399,21.3,D1,1.029,1.321,1.321,4.16368,408,8.54
0,65.885,-131.89,1170,30.4,28.8,0.065,18.38,D1,0.757,1.303,1.303,5.27907,296,8.54
1,66.2004,-130.492,1171,30.1,27.4,0.392,21.62,D1,1.018,1.338,1.338,3.91697,409,8.54
1,67.0171,-128.87,1172,27,27.3,0.275,19.07,D1,0.745,1.359,1.359,2.89488,304,8.54
0,66.9922,-129.005,1173,27,27.2,0.258,18.84,D1,0.714,1.365,1.365,2.79861,292,8.54
1,66.8506,-129.757,1174,28,27.5,0.254,19.21,C2,4.285,4.152,4.54833,6.8769,5847,8.54
1,66.8884,-129.891,1175,28.1,26.6,0.307,20.23,C2,4.364,4.284,4.69214,7.18425,6143,8.54
1,65.69,-127.651,1176,28,27.8,0.086,19.57,C2,5.99,3.379,3.59023,7.9772,6452,8.54
0,65.7025,-127.639,1177,28,27.8,0.086,19.57,C2,5.99,3.379,3.87808,7.9772,6969,8.54
1,65.6985,-127.661,1178,28.4,27.9,0.087,19.57,C2,5.99,3.379,3.88883,7.9772,6988,8.54
0,65.6979,-127.608,1179,28,27.8,0.086,20.22,C2,6.26,3.424,3.50674,8.059,6586,8.54
0,65.694,-127.629,1180,28,27.8,0.086,19.57,C2,5.99,3.379,3.55505,7.9772,6388,8.54
1,66.8839,-129.915,1181,28.1,26.6,0.307,20.23,C2,4.364,4.284,4.55156,7.18425,5959,8.54
1,67.2491,-132.499,1182,31,29.4,0.123,19.2,C2,5.183,3.609,4.06404,6.61462,6319,8.54
1,67.2437,-132.524,1183,30.7,28.4,0.119,19.2,C2,5.183,3.609,3.75813,6.61462,5844,8.54
1,67.1743,-132.853,1184,30.9,28,0.153,18.98,C2,5.27,3.529,3.98404,6.3046,6299,8.54
1,67.1634,-132.904,1185,30.9,28,0.153,19.04,C2,5.304,3.529,3.98404,6.30699,6339,8.54
1,67.6272,-130.667,1186,28.7,29.5,0.089,16.79,C2,3.518,3.977,4.46476,6.74404,4712,8.54
1,67.2735,-132.436,1187,31,30.4,0.114,19.09,C2,5.144,3.604,3.68963,6.65901,5694,8.54
1,67.2578,-132.511,1188,31,29.4,0.123,19.07,C2,5.164,3.596,4.0437,6.65479,6265,8.54
1,67.1776,-132.891,1189,30.9,28,0.153,19.2,C2,5.487,3.528,3.76588,6.30932,6199,8.54
1,67.1722,-132.916,1190,30.9,28,0.153,19.2,C2,5.487,3.528,3.83935,6.30932,6320,8.54
1,67.6356,-130.679,1191,28.7,29.5,0.089,16.79,C2,3.518,3.977,4.3691,6.74404,4611,8.54
1,67.1809,-132.929,1192,30.9,28,0.153,19.2,C2,5.487,3.528,3.79029,6.30932,6239,8.54
1,67.1897,-132.941,1193,30.9,28,0.153,19.04,C2,5.45,3.508,3.83843,6.27984,6276,8.54
1,67.2682,-132.461,1194,31,29.4,0.123,19.09,C2,5.144,3.604,4.11868,6.65901,6356,8.54
1,64.5702,-119.71,1195,19.9,21.8,0.275,24.18,C2,8.266,3.586,3.97178,9.23079,9849,8.54
1,64.5789,-119.716,1196,19.9,21.8,0.275,24.18,C2,8.266,3.586,4.63333,9.23079,11490,8.54
1,64.6099,-125.048,1197,26.4,27.2,0.153,24.55,C2,8.381,3.68,4.17494,9.01932,10497,8.54
1,64.6163,-125.059,1198,26.4,27.2,0.153,24.31,C2,8.13,3.668,4.1485,8.97766,10118,8.54
1,64.5789,-125.619,1199,24.9,24.1,0.247,21.53,C2,5.696,3.507,3.81916,8.4369,6526,8.54
1,64.6818,-125.246,1200,26.7,27.2,0.204,23.62,C2,7.788,3.636,3.99177,8.8115,9326,8.54
1,64.6697,-125.544,1201,26.2,26.5,0.23,21.01,C2,6.506,3.483,3.61321,8.35661,7052,8.54
1,64.8482,-124.841,1202,26.9,28,0.116,25.22,C2,8.444,3.735,3.79077,9.26991,9603,8.54
1,64.8448,-124.862,1203,27.2,27.9,0.179,25.22,C2,8.444,3.735,3.79865,9.26991,9623,8.54
1,64.7075,-125.658,1204,26.4,26.5,0.237,21.48,C2,6.891,3.516,3.628,8.35122,7500,8.54
1,66.0712,-121.812,1205,18.9,21.5,0.095,24.96,C2,8.942,3.591,4.32068,8.77221,11591,8.54
1,66.0791,-121.824,1206,18.9,21.5,0.095,24.96,C2,8.942,3.591,4.67712,8.77221,12547,8.54
1,66.0762,-121.845,1207,18.9,21.5,0.095,24.96,C2,8.942,3.591,3.591,8.77221,9633,8.54
1,65.4271,-127.035,1208,27.8,28.8,0.084,21.73,C2,6.888,3.521,3.66787,8.152,7579,8.54
1,65.6429,-126.818,1209,26.4,27.1,0.107,22.49,C2,6.884,3.576,3.62153,8.41058,7479,8.54
1,66.0333,-125.568,1210,25.1,25.1,0.319,19.98,C2,6.382,3.347,3.9886,8.27719,7637,8.54
1,65.7252,-127.774,1211,28.8,28,0.087,20.38,C2,6.313,3.439,3.439,7.97093,6513,8.54
1,65.7338,-127.784,1212,28.8,28,0.087,20.38,C2,6.313,3.439,3.63558,7.97093,6885,8.54
1,66.8512,-129.644,1213,27.7,28.5,0.214,19.17,C2,4.378,4.09,4.55405,6.8076,5981,8.54
1,66.8597,-129.655,1214,27.8,28.5,0.211,19.17,C2,4.378,4.09,4.09237,6.8076,5375,8.54
0,67.2333,-129.863,1215,27.6,24.6,0.179,17.16,C2,3.192,4.332,4.68637,6.83745,4488,8.54
0,67.2374,-129.897,1216,27.6,24.6,0.179,16.88,C2,3.181,4.329,4.84874,6.80852,4627,8.54
1,67.2459,-129.908,1217,27.3,24.1,0.189,16.88,C2,3.181,4.329,4.66324,6.80852,4450,8.54
0,67.2415,-129.931,1218,27.6,24.6,0.179,16.88,C2,3.181,4.329,4.73179,6.80852,4516,8.54
1,64.1865,-146.404,1219,22.6,21.4,0.286,18,C2,3.98092,3.9631,4.09209,7.74531,4887,16.43
1,64.0899,-146.515,1220,21,20.3,0.326,22.1,C2,6.07825,3.94384,4.03221,7.62857,7353,16.43
1,66.2268,-138.93,1221,28.2,28.5,0.066,19.91,C2,6.154,3.346,3.346,7.62722,6177,18.04
1,66.0336,-137.633,1222,28.5,27,0.093,21.84,C2,7.286,3.476,3.47679,7.1211,7600,18.04
1,68.5871,-133.253,1223,28.9,26.4,0.17,19.2,D2,1.08802,1.20138,1.20138,6.0403,392,9.23
1,68.5375,-133.367,1224,29,26,0.18,19.2,D2,1.08802,1.20138,1.20138,6.0403,392,9.23
1,68.5819,-133.278,1225,28.8,26.7,0.162,19.2,D2,1.08802,1.20138,1.20138,6.0403,392,9.23
0,68.4796,-133.143,1226,29,26.3,0.15,18,D1,0.912619,1.21578,1.21578,3.2682,333,9.23
1,67.9464,-138.798,1227,30.1,26.2,0.19,16.83,O1a,0,0.35,0.35,0.35,0,18.04
1,67.9556,-138.815,1228,30.1,26.2,0.19,16.79,D1,0.82,1.204,1.204,7.60988,296,18.04
1,67.9348,-138.684,1229,30,26.6,0.159,16.62,D1,0.806,1.2,1.2,7.64845,290,18.04
1,67.9475,-138.846,1230,30.5,27,0.173,17.01,M1_25,1.876,1.711,1.711,1.30179,963,18.04
1,67.9383,-138.829,1231,30.5,26.9,0.171,17.06,M1_25,1.882,1.714,1.714,1.29204,968,18.04
1,67.936,-138.733,1232,30,26.6,0.159,16.88,M1_25,1.858,1.706,1.706,1.32508,951,18.04
1,67.944,-138.701,1233,30,26.6,0.159,16.66,M1_25,1.83,1.696,1.696,1.36492,931,18.04
1,67.9268,-138.716,1234,30,26.6,0.159,16.88,M1_25,1.855,1.706,1.706,1.32392,949,18.04
1,67.9176,-138.699,1235,30,26.6,0.159,16.88,M1_25,1.855,1.706,1.706,1.32392,949,18.04
1,67.8416,-138.833,1236,30.8,28.1,0.109,17.84,D1,0.866,1.235,1.235,7.00237,321,18.04
1,67.8497,-138.801,1237,30.5,26.9,0.171,17.68,D1,0.86,1.23,1.23,7.10587,317,18.04
1,67.8047,-138.765,1238,30.8,28.1,0.109,17.76,D1,0.86,1.234,1.234,7.00148,318,18.04
1,67.9061,-138.586,1239,29.6,26.5,0.131,16.34,M1_25,1.782,1.686,1.686,1.41318,901,18.04
1,67.8979,-138.612,1240,29.6,26.5,0.131,16.58,M1_25,1.815,1.696,1.696,1.36895,923,18.04
1,68.6258,-133.117,1241,28.9,26,0.18,19.2,D1,1.08802,1.20138,1.20138,6.0403,392,9.23
1,68.5781,-133.404,1242,28.9,27.1,0.155,19.2,D2,1.08802,1.20138,1.20138,6.0403,392,9.23
1,68.6053,-133.38,1243,28.9,27.1,0.155,19.2,D2,1.08802,1.20138,1.20138,6.0403,392,9.23
